# Infinitive | Regularity | Pres conj ich | Pres conj du | Pres conj er/sie/es | Pres conj wir | Pres conj ihr | Pres conj sie | Translations (comma-separated) | Topics (comma-separated)
machen | False | mache | machst | macht | machen | macht | machen | create,make,do,made,go,make for,делать | Действие и взаимодействие,A1
ausmachen | False | mache aus | machst aus | macht aus | machen aus | macht aus | machen aus | put out,turn off,switch off,выключать | A1,Действие и взаимодействие
anmachen | False | mache an | machst an | macht an | machen an | macht an | machen an | dress,light,turn on,switch on | A1,Действие и взаимодействие
tun | False | tue | tust | tut | tun | tut | tun | do,put,work,act,happen,do smth,поступать,делать | A1,Действие и взаимодействие
suchen | False | suche | suchst | sucht | suchen | sucht | suchen | look for,search,seek,hunt,искать | A1,Действие и взаимодействие
finden | False | finde | findest | findet | finden | findet | finden | find,discover,spot,think,находить | A1,Действие и взаимодействие
nehmen | False | nahme | nimmst | nimmt | nehmen | nehmt | nehmen | take,have,acquire,pick,брать | A1,Действие и взаимодействие
halten | False | halte | hältst | hält | halten | haltet | halten | keep,stop,halt,hold,maintain,consider,regard,держать | A1,Действие и взаимодействие
benutzen | False | benutze | benutzt | benutzt | benutzen | benutzt | benutzen | use,tilize,использовать,применять | A1,Действие и взаимодействие
öffnen | False | öffne | öffnest | öffnet | öffnen | öffnet | öffnen | open,unlock,break open,open up,открывать | A1,Действие и взаимодействие
schließen | False | schließe | schließt | schließt | schließen | schließt | schließen | close,shut,fasten,infer,guess,deduce,закрывать | A1,Действие и взаимодействие
bringen | False | bringe | bringst | bringt | bringen | bringt | bringen | bring,take,convey,cause to,приносить,перемещать | A1,Действие и взаимодействие
holen | False | hole | holst | holt | holen | holt | holen | get,fetch,take a breath,catch,kidnap,приносить,доставать | A1,Действие и взаимодействие
geben | False | gebe | gibst | gibt | geben | gebt | geben | give to,give,put,add,pour,давать | A1,Действие и взаимодействие
stellen | False | stelle | stellst | stellt | stellen | stellt | stellen | set,place,put,stand,adjust,ставить | A1,Действие и взаимодействие
legen | False | lege | legst | legt | legen | legt | legen | lay,put,floor,класть | A1,Действие и взаимодействие
beginnen | False | beginne | beginnst | beginnt | beginnen | beginnt | beginnen | start,begin,incept,начинать | A1,Действие и взаимодействие
aufhören | False | höre auf | hörst auf | hört auf | hören auf | hört auf | hören auf | stop,quit,cease,end,conclude (with),прекращать | A1,Действие и взаимодействие
lesen | False | lese | liest | liest | lesen | lest | lesen | читать,read,pick,select | Хобби и привычки,A1
fernsehen | False | sehe fern | siehst fern | sieht fern | sehen fern | seht fern | sehen fern | watch TV,смотреть телевизор | A1,Хобби и привычки
wandern | False | wandere | wanderst | wandert | wandern | wandert | wandern | ходить в поход,гулять в лесу,hike,travel,move | A1,Хобби и привычки
rauchen | False | rauche | rauchst | raucht | rauchen | raucht | rauchen | smoke,курить | A1,Хобби и привычки
schwimmen | False | schwimme | schwimmst | schwimmt | schwimmen | schwimmt | schwimmen | swim,плавать | A1,Спорт
gewinnen | False | gewine | gewinnst | gewinnt | gewinnen | gewinnt | gewinnen | win,gain,ear,profit,выигрывать | A1,Спорт
anbieten | False | biete an | bietest an | bietet an | bieten an | bietet an | bieten an | propose,offer,advertise,предлагать | A1,Покупки и одежда
kaufen | False | kaufe | kaufst | kauft | kaufen | kauft | kaufen | purchase,buy,pay,corrupt,покупать | A1,Покупки и одежда
einkaufen | False | kaufe ein | kaufst ein | kauft ein | kaufen ein | kauft ein | kaufen ein | shop,go shopping,buy,do the shopping,делать покупки | A1,Покупки и одежда
verkaufen | False | verkaufe | verkaufst | verkauft | verkaufen | verkauft | verkaufen | продавать,sell,sell out | Покупки и одежда,A1
kosten | False | koste | kostest | kostet | kosten | kostet | kosten | cost,be priced at,taste,стоить | A1,Покупки и одежда
bestellen | False | bestelle | bestellst | bestellt | bestellen | bestellt | bestellen | send,order,convey,cultivate,заказывать | A1,Покупки и одежда
zahlen | False | zahle | zahlst | zahlt | zahlen | zahlt | zahlen | pay,make payment,settle up,платить | A1,Покупки и одежда
bezahlen | False | bezahle | bezahlst | bezahlt | bezahlen | bezahlt | bezahlen | оплачивать,pay,check out,discharge,settle up | A1,Покупки и одежда
empfehlen | False | empfehle | empfiehlst | empfiehlt | empfehlen | empfehlt | empfehlen | recomment,advise,aproce,advocate,рекомендовать | A1,Покупки и одежда
reisen | False | reise | reist | reist | reisen | reist | reisen | travel,fare,tour,journey,путешествовать | A1,Путешествия
abfahren | False | fahre ab | fährst ab | fährt ab | fahren ab | fahrt ab | fahren ab | leave,depart,remove,выезжать,отъезжать,отправляться | A1,Путешествия
abfliegen | False | fliege ab | fliegst ab | fliegt ab | fliegen ab | fliegt ab | fliegen ab | patrol,overfly,depart,вылутать (напр. на самолете) | A1,Путешествия
ankommen | False | komme an | kommst/kömmst an | kommt/kömmt an | kommen an | kommt an | kommen an | arrive,depend,matter,appear,come,прибывать,приезжать | Путешествия,A1
besichtigen | False | besichtige | besichtigst | besichtigt | besichtigen | besichtigt | besichtigen | view,visit,look around,посещать (место/достопримечательность) | A1,Путешествия
einsteigen | False | steige ein | steigst ein | steigt ein | steigen ein | steigt ein | steigen ein | get in,board,access,climb in,get on,входить,садиться | A1,Транспорт и техника
aussteigen | False | steige aus | steigst aus | steigt aus | steigen aus | steigt aus | steigen aus | to quit something,to bail out,to parachute,выходить (из транспорта/игры) | A1,Транспорт и техника
besetzen | False | besetze | besetzt | besetzt | besetzen | besetzt | besetzen | occupy,decorate,занять | A1
leben | False | lebe | lebst | lebt | leben | lebt | leben | live,inhabit,home,жить | A1,Жизнь и смерть
sterben | False | sterbe | stirbst | stirbt | sterben | sterbt | sterben | die,perish,to cop it,умереть | A1,Жизнь и смерть
schauen | False | schaue | schaust | schaut | schauen | schaut | schauen | take care of,watch,look,look after,заботиться | A1
braten | False | brate | brätst | brät | braten | bratet | braten | Fry,Roast,Жарить | A1,Продукты питания
essen | False | esse | isst | isst | essen | esst | essen | eat,кушать,consume | A1,Продукты питания
verbieten | False | verbiete | verbietest | verbietet | verbieten | verbietet | verbieten | forbid,prohibit,veto,ban,запрещать | A1
