# adjective | str. infl. nom. masculine | str. infl. nom. feminine | str. infl. nom. neutral | str. infl. nom. plural | str. infl. gen. masculine | str. infl. gen. feminine | str. infl. gen. neutral | str. infl. gen. plural | str. infl. dat. masculine | str. infl. dat. feminine | str. infl. dat. neutral | str. infl. dat. plural | str. infl. acc. masculine | str. infl. acc. feminine | str. infl. acc. neutral | str. infl. acc. plural | weak infl. nom. masculine | weak infl. nom. feminine | weak infl. nom. neutral | weak infl. nom. plural | weak infl. gen. masculine | weak infl. gen. feminine | weak infl. gen. neutral | weak infl. gen. plural | weak infl. dat. masculine | weak infl. dat. feminine | weak infl. dat. neutral | weak infl. dat. plural | weak infl. acc. masculine | weak infl. acc. feminine | weak infl. acc. neutral | weak infl. acc. plural | mixed infl. nom. masculine | mixed infl. nom. feminine | mixed infl. nom. neutral | mixed infl. nom. plural | mixed infl. gen. masculine | mixed infl. gen. feminine | mixed infl. gen. neutral | mixed infl. gen. plural | mixed infl. dat. masculine | mixed infl. dat. feminine | mixed infl. dat. neutral | mixed infl. dat. plural | mixed infl. acc. masculine | mixed infl. acc. feminine | mixed infl. acc. neutral | mixed infl. acc. plural | predicative masculine | predicative feminine | predicative neutral | predicative plural | translations (comma-separated) | topics (comma-separated)
früher | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | раньше,early,earlier | A1,Время
geboren | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | рожден(а),born | A1,Жизнь и смерть
tot | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | dead,мертвый | A1,Жизнь и смерть
viel | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | a lot,much,plenty,много | A1
wenig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | a few,little,a bit,less,мало | A1
laut | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | loud,громкий,громко | A1,Учеба
leise | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | muted,quiet,тихий,тихо | A1,Учеба
leicht | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | light,easy,lightweight,straightforward,легкий,легко | A1,Учеба
einfach | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | easy,simple,simply,single,простой,просто | A1,Учеба
schwer | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | heavy,hard,difficult,grave,serious,тяжелый,тяжело | A1,Учеба
fertig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | готовый,готово,done,ready,finished,exhausted | A1,Учеба
richtig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | right,exact,correct,правильный,правильно | A1,Учеба
falsch | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | wrong,false,fake,deceitful,неправильный,неправильно | A1,Учеба
arbeitslos | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | jobless,redundant,unemployment,безработный | A1,Работа и профессии
selbständig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | самостоятельный,самозанятый | A1,Работа и профессии
selten | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | rare,seldom,rearely,sometimes | A1
wichtig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | важный,relevant,important,significant | A1,Работа и профессии
bar | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | cash,наличные | A1
regelmäßig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | regular,regularly | A1
letzte | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | last | A1
jeweilig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | current,respective | A1
dünn | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | thin,weak | A1
getrennt | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | separate,disconnected | A1
griechisch | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | greek,груческий | A1
gutherzig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | kind-hearted,kindly,добросердечный | A1
nett | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | nice,cute | A1
klug | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | wise,smart,clever | A1
unbequem | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | uncomfortable,inconvenient | A1
mehr | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | a lot,much,plenty | A1
ganz | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | intact,full,whole,total,quite,entire | A1
täglich | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | daily | A1
zweimalig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | twice | A1
beschwingt | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | elated,exhilarated,vibrant | A1
eng | enger | enge | enges | enge | engen | enger | engen | enger | engem | enger | engem | engen | engen | enge | enges | enge | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | tight,narrow,close,intimate | A1
bunt | bunter | bunte | buntes | bunte | bunten | bunter | bunten | bunter | buntem | bunter | buntem | bunten | bunten | bunte | buntes | bunte | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | colourful,lively,eventful | A1
einig | einiger | einige | einiges | einige | einigen | einiger | einigen | einiger | einigem | einiger | einigem | einigen | einigen | einige | einiges | einige | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | some | A1
malerisch | malerischer | malerische | malerisches | malerische | malerischen | malerischer | malerischen | malerischer | malerischem | malerischer | malerischem | malerischen | malerischen | malerische | malerisches | malerische | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | scenic,picturesque | A1
ziemlich | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | almost,nearly,rather,quite,pretty,reasonably | A1
verschieden | verschiedener/verschiedner | verschiedene/verschiedne | 	verschiedenes/verschiednes | verschiedene/verschiedne | verschiedenen/verschiednen | verschiedener/verschiedner | 	verschiedenen/verschiednen | verschiedener/verschiedner | verschiedenem/verschiednem | verschiedener/verschiedner | verschiedenem/verschiednem | verschiedenen/verschiednen | verschiedenen/verschiednen | verschiedene/verschiedne | verschiedenes/verschiednes | verschiedene/verschiedne | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | various,different,distinct | A1
leidenschaftlich | leidenschaftlicher | leidenschaftliche | leidenschaftliches | leidenschaftliche | leidenschaftlichen | leidenschaftlicher | leidenschaftlichen | leidenschaftlicher | leidenschaftlichem | leidenschaftlicher | leidenschaftlichem | leidenschaftlichen | leidenschaftlichen | leidenschaftliche | leidenschaftliches | leidenschaftliche | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | passionate | A1
dichter | dichterer | dichtere | dichteres | dictere | dichteren | dichterer | dichteren | dicterer | dicterem | dichterer | dichterem | dichteren | dichteren | dichtere | dichteres | dichtere | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | dense,thick,close,tipsy,tight | A1
sonnig | sonniger | sonnige | sonniges | sonnige | sonnigen | sonniger | sonnigen | sonniger | sonnigem | sonniger | sonnigem | sonnigen | sonnigen | sonnige | sonniges | sonnige | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | sunny | A1
windig | windiger | windige | windiges | windige | windigen | windiger | windigen | windiger | windigem | windiger | windigem | windigen | windigen | windige | windiges | windige | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | windy | A1
neblig/nebelig | nebliger/nebeliger | neblige/nebelige | nebliges/nebeliges | neblige/nebelige | nebligen/nebeligen | nebliger/nebeliger | nebligen/nebeligen | nebliger/nebeliger | nebligem/nebeligem | nebliger/nebeliger | nebligem/nebeligem | nebligen/nebeligen | nebligen/nebeligen | neblige/nebelige | nebliges/nebeliges | neblige/nebelige | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | foggy,misty,туманно | A1
glatt | glatter | glatte | glattes | glatte | glatten | glatter | glatten | glatter | glattem | glatter | glattem | glatten | glatten | glatte | glattes | glatte | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | smooth,slippey,plain,smooth,скользкий | A1
köstlich | köstlicher | köstliche | köstliches | köstliche | köstlichen | köstlicher | köstlichen | köstlicher | köstlichem | köstlicher | köstlichem | köstlichen | köstlichen | köstliche | köstliches | köstliche | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | delicious,exquisite,amusing,costly,precious | A1
anstrengend | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | stressful | A1
rund | runder | runde | rundes | runde | runden | runder | runden | runder | rundem | runder | rundem | runden | runden | runde | rundes | runde | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | round,круглый | A1
sofortig | sofortiger | sofortige | sofortiges | sofortige | sofortigen | sofortiger | sofortigen | sofortiger | sofortigem | sofortiger | sofortigem | sofortigen | sofortigen | sofortige | sofortiges | sofortige | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | instant,immediate | A1
langweilig | langweiliger | langweilige | langweiliges | langweilige | langweiligen | langweiliger | langweiligen | langweiliger | langweiligem | langweiliger | langweiligem | langweiligen | langweiligen | langweilige | langweiliges | langweilige | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | dull,boring | A1
hässlich | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | ugly,nasty | A1
ausgezeichnet | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | decorated,excellent,marvellous | A1
salzig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | saline,salted | A1
sauer | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | angry,pissed,annoyed | A1
weich | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | soft | A1
warm | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | warm | A1
lecker | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | tasty,delicious,scrumptious | A1
