# gender | sg nom. | sg gen. | sg dat. | sg acc. | pl nom. | pl gen. | pl dat. | pl acc. | translations (comma-separated) | topics (comma-separated)
N | Ei | Eies/Eis | Ei | Ei | Eier | Eier | Eier | Eier | Egg,Яйцо | A1,Продукты питания
N | Brot | Brotes/Brots | Brot/Brote | Brot | Brote | Brote | Broten | Brote | Bread,Хлеб | A1,Продукты питания
N | Brötchen | Brötchens | Brötchen | Brötchen | Brötchen | Brötchen | Brötchen | Brötchen | Bread roll,Roll,Bun,Булочка | A1,Продукты питания
M | Kuchen | Kuchens | Kuchen | Kuchen | Kuchen | Kuchen | Kuchen | Kuchen | Cake,Пирог | A1,Продукты питания
F | Pommes frites (Pl.) | - | - | - | Pommes frites | Pommes frites | Pommes frites | Pommes frites | French fry,Картошка фри | A1,Продукты питания
M | Reis | Reises | Reis/Reise | Reis | Reiser | Reiser | Reisern | Reiser | Rice,Рис | A1,Продукты питания
F | Tomate | Tomate | Tomate | Tomate | Tomaten | Tomaten | Tomaten | Tomaten | Tomato,Помидор | A1,Фрукты и овощи
N | Obst | Obstes/Obsts | Obst/Obste | Obst | - | - | - | - | Fruit,Фрукты | A1,Фрукты и овощи
M | Apfel | Apfels | Apfel | Apfel | Äpfel | Äpfel | Äpfeln | Äpfel | Apple,Яблоко,Apple tree (Äpfel) | A1,Фрукты и овощи
F | Banane | Banane | Banane | Banane | Bananen | Bananen | Bananen | Bananen | Banana,Банан | A1,Фрукты и овощи
F | Birne | Birne | Birne | Birne | Birnen | Birnen | Birnen | Birnen | Груша,Pear,Bulb | A1,Фрукты и овощи
N | Gemüse | Gemüses | Gemüse | Gemüse | Gemüse | Gemüse | Gemüsen | Gemüse | Vegetable,Овощи | A1,Фрукты и овощи
F | Kartoffel | Kartoffel | Kartoffel | Kartoffel | Kartoffeln | Kartoffeln | Kartoffeln | Kartoffeln | Potato,Картофель | A1,Фрукты и овощи
M | Salat | Salates/Salats | Salat/Salate | Salat | Salate | Salate | Salaten | Salate | Salad,Салат | A1,Фрукты и овощи
N | Getränk | Getränkes/Getränks | Getränk/Getränke | Getränk | Getränke | Getränke | Getränken | Getränke | Drink,Beverage,Напиток | A1,Фрукты и овощи
M | Tee | Tees | Tee | Tee | Tees | Tees | Tees | Tees | Tea,Чай | A1,Фрукты и овощи
M | Kaffee | Kaffees | Kaffee | Kaffee | Kaffees | Kaffees | Kaffees | Kaffees | Coffee,Кофе | A1,Фрукты и овощи
F | Milch | Milch | Milch | Milch | Milchen/Milche | Milchen/Milche | Milchen/Milchen | Milchen/Milche | Молоко,Milk | A1,Фрукты и овощи
M | Saft | Saftes/Safts | Saft/Safte | Saft | Säfte | Säfte | Säften | Säfte | Juice,Drink,Сок | A1,Фрукты и овощи
N | Wasser | Wassers | Wasser | Wasser | Wasser/Wässer | Wasser/Wässer | Wassern/Wässern | Wasser/Wässer | Water,Вода | A1,Фрукты и овощи
N | Bier | Bieres/Biers | Bier/Biere | Bier | Biere | Biere | Bieren | Biere | Beer,Пиво,Ale | A1,Фрукты и овощи
M | Wein | Weines/Weins | Wein/Weine | Wein | Weine | Weine | Weinen | Weine | Вино,Wine | A1,Фрукты и овощи
F | Anzeige | Anzeige | Anzeige | Anzeige | Anzeigen | Anzeigen | Anzeigen | Anzeigen | Announcement,Advertisement,Объявление (на бумаге),Заявление (в полицию) | Аренда жилья,A1
F | Wohnung | Wohnung | Wohnung | Wohnung | Wohnungen | Wohnungen | Wohnungen | Wohnungen | Home,Accommodation,Apartment,Flat,Квартира | Аренда жилья,A1
N | Zimmer | Zimmers | Zimmer | Zimmer | Zimmer | Zimmer | Zimmern | Zimmer | Room,Apartment | A1,Аренда жилья
N | Apartment | Apartments | Apartment | Apartment | Apartments | Apartments | Apartments | Apartments | Apartment,Flat,Апартаменты | A1,Аренда жилья
N | Haus | Hauses | Haus/Hause | Haus | Häuser | Häuser | Häusern | Häuser | Дом,House,Shell,Home | Аренда жилья,A1
