# gender | sg nom. | sg gen. | sg dat. | sg acc. | pl nom. | pl gen. | pl dat. | pl acc. | translations (comma-separated) | topics (comma-separated)
F | Fahrkarte | Fahrkarte | Fahrkarte | Fahrkarte | Fahrkarten | Fahrkarten | Fahrkarten | Fahrkarten | Ticket,Travel pass,Проездной билет | A1,Транспорт и техника
N | Ticket | Tickets | Ticket | Ticket | Tickets | Tickets | Tickets | Tickets | Ticket,Билет | A1,Транспорт и техника
M | Automat | Automaten | Automaten | Automaten | Automaten | Automaten | Automaten | Automaten | Automation,Vending machine,Cash dispenser,Автомат (устройство) | A1,Транспорт и техника
F | Maschine | Maschine | Maschine | Maschine | Maschinen | Maschinen | Maschinen | Maschinen | Machine,Engine,Aircraft,Processor,Equipment,Механизм,Станок | A1,Транспорт и техника
N | Schild | Schildes/Schilds | Schild/Schilde | Schild | Schilde | Schilde | Schilden | Schilde | Shield,Buckler,Знак (дорожный),Щит,Вывеска,Табличка | A1,Транспорт и техника
N | Leben | Lebens | Leben | Leben | Leben | Leben | Leben | Leben | Life,Living,Lifetime,Existence,Animation | A1,Жизнь и смерть
M | Hagel | Hagels | Hagel | Hagel | Hagel | Hagel | Hageln | Hagel | Hail,Storm | A1
F | Kirche | Kirche | Kirche | Kirche | Kirchen | Kirchen | Kirchen | Kirchen | Church,Церковь | A1
M | Essig | Essigs | Essig | Essig | Essige | Essige | Essigen | Essige | Vinegar,Уксус | A1
F | Geschichte | Geschichte | Geschichte | Geschichte | Geschichten | Geschichten | Geschichten | Geschichten | History,Tale,Story | A1
F | Lust | Lust | Lust | Lust | Lüste | Lüste | Lüsten | Lüste | Joy,Lust,Desire,Delight,Веселье | A1
N | Konzert | Konzertes/Konzerts | Konzert/Konzerte | Konzert | Konzerte | Konzerte | Konzerten | Konzerte | Concert,Концерт | A1
F | Komödie | Komödie | Komödie | Komödie | Komödien | Komödien | Komödien | Komödien | Comedy,Комедия | A1
F | Verspätung | Verspätung | Verspätung | Verspätung | Verspätungen | Verspätungen | Verspätungen | Verspätungen | Delay,Later arrival,Задержка | A1
N | Viertel | Viertels | Viertel | Viertel | Viertel | Viertel | Vierteln | Viertel | Quarter,Четверть | A1
N | Frühstück | Frühstücks | Frühstück | Frühstück | Frühstücke | Frühstücke | Frühstücken | Frühstücke | Breakfast,Завтрак | A1,Продукты питания
N | Abendbrot | Abendbrotes/Abendbrots | Abendbrot/Abendbrote | Abendbrot | Abendbrote | Abendbrote | Abendbroten | Abendbrote | Dinner,Ужин | A1,Продукты питания
N | Mittagessen/Mittagsessen | Mittagessens/Mittagsessens | Mittagessen/Mittagsessen | Mittagessen/Mittagsessen | - | - | - | - | Lunch,Обед | A1,Продукты питания
M | Honig | Honigs | Honig | Honig | Honige | Honige | Honigen | Honige | Honey,Мёд | A1,Продукты питания
F | Marmelade | Marmelade | Marmelade | Marmelade | Marmeladen | Marmeladen | Marmeladen | Marmeladen | Jam,Варенье | A1,Продукты питания
M | Käse | Käses | Käse | Käse | Käse | Käse | Käsen | Käse | Cheese,Сыр | A1,Продукты питания
F | Schokolade | Schokolade | Schokolade | Schokolade | Schokoladen | Schokoladen | Schokoladen | Schokoladen | Chocolate,Шоколад | A1,Продукты питания
M | Haferbrei | Haferbreies/Haferbreis | Haferbrei | Haferbrei | Haferbreie | Haferbreie | Haferbreien | Haferbreie | Oatmeal,Porridge,Каша | A1,Продукты питания
F | Haferflocken (Pl.) | - | - | - | Haferflocken | Haferflocken | Haferflocken | Haferflocken | oat flakes,Porridge oats | A1
N | Spiegelei | Spiegeleies/Spiegeleis | Spiegelei | Spiegelei | Spiegeleier | Spiegeleier | Spiegeleiern | Spiegeleier | Fried egg,Яичница | A1,Продукты питания
M | Spiegel | Spiegels | Spiegel | Spiegel | Spiegel | Spiegel | Spiegeln | Spiegel | Looking glass,Mirror,Зеркало | A1
F | Kartoffel | Kartoffel | Kartoffel | Kartoffel | Kartoffeln | Kartoffeln | Kartoffeln | Kartoffeln | Картофель,Potato | A1,Продукты питания
F | Mahlzeit | Mahlzeit | Mahlzeit | Mahlzeit | Mahlzeiten | Mahlzeiten | Mahlzeiten | Mahlzeiten | Meal,Repast | A1,Продукты питания
N | Beispiel | Beispiels | Beispiel | Beispiel | Beispiele | Beispiele | Beispielen | Beispiele | Example,Instance,Sample,Пример,Например | A1
F | Suppe | Suppe | Suppe | Suppe | Suppen | Suppen | Suppen | Suppen | Soup,Суп | A1,Продукты питания
F | Bratkartoffel | Bratkartoffel | Bratkartoffel | Bratkartoffel | Bratkartoffeln | Bratkartoffeln | Bratkartoffeln | Bratkartoffeln | Fried potatoes,Жареная картошка | A1,Продукты питания
F | Beilage | Beilage | Beilage | Beilage | Beilagen | Beilagen | Beilagen | Beilagen | Side dish,Garnishings,Supplement,Гарнир,Украшение | A1,Продукты питания
M | Kartoffelbrei | Kartoffelbreies/Kartoffelbreis | Kartoffelbrei | Kartoffelbrei | Kartoffelbreie | Kartoffelbreie | Kartoffelbreien | Kartoffelbreie | Mashed potato,Картофельное пюре | A1,Продукты питания
M | Knödel | Knödels | Knödel | Knödel | Knödel | Knödel | Knödeln | Knödel | Dumpling,Пельмени | A1,Продукты питания
N | Rührei | Rühreies/Rühreis | Rührei | Rührei | Rühreier | Rühreier | Rühreiern | Rühreier | Scrambled egg | A1,Продукты питания
N | Omelett | Omelettes/Omeletts | Omelett/Omelette | Omelett | Omelette | Omelette | Omeletten | Omelette | Omelet,Омлет | A1,Продукты питания
F | Mayonnaise | Mayonnaise | Mayonnaise | Mayonnaise | Mayonnaisen | Mayonnaisen | Mayonnaisen | Mayonnaisen | Mayo,Майонез | A1,Продукты питания
